ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-08-01,175.8402229597184,1796.9937636761229,2803.397155721611,175.8402229597184,175.8402229597184,2106.367942460237,2106.367942460237,2106.367942460237,2106.367942460237,2106.367942460237,2106.367942460237,0.0,0.0,0.0,2282.2081654199555
2017-09-01,145.50260182251574,-779.8284498007246,238.9622569050755,145.50260182251574,145.50260182251574,-406.00786528011383,-406.00786528011383,-406.00786528011383,-406.00786528011383,-406.00786528011383,-406.00786528011383,0.0,0.0,0.0,-260.50526345759806
2017-11-01,85.80449263385039,151.45877671555124,1230.0094002491014,85.80449263385039,85.80449263385039,592.3257836820385,592.3257836820385,592.3257836820385,592.3257836820385,592.3257836820385,592.3257836820385,0.0,0.0,0.0,678.1302763158889
2017-12-01,56.44476675329155,208.5257460133609,1269.681127175535,56.44476675329155,56.44476675329155,672.677924721018,672.677924721018,672.677924721018,672.677924721018,672.677924721018,672.677924721018,0.0,0.0,0.0,729.1226914743096
2018-02-01,-4.232000125234344,-339.7581969916073,664.2144811149738,-4.232000125234344,-4.232000125234344,165.77565988821883,165.77565988821883,165.77565988821883,165.77565988821883,165.77565988821883,165.77565988821883,0.0,0.0,0.0,161.54365976298448
2018-05-01,-91.33252032182821,-272.0882822557525,745.5101834057631,-91.33252032182821,-91.33252032182821,340.4451764304151,340.4451764304151,340.4451764304151,340.4451764304151,340.4451764304151,340.4451764304151,0.0,0.0,0.0,249.11265610858686
2018-06-01,-121.67090376109137,-492.285982989288,451.7586896151419,-121.67090376109137,-121.67090376109137,115.31115410925605,115.31115410925605,115.31115410925605,115.31115410925605,115.31115410925605,115.31115410925605,0.0,0.0,0.0,-6.359749651835315
2018-09-01,-211.7073965485816,309.48814564145675,1351.5722007289403,-211.7073965485816,-211.7073965485816,1026.9826526497718,1026.9826526497718,1026.9826526497718,1026.9826526497718,1026.9826526497718,1026.9826526497718,0.0,0.0,0.0,815.2752561011902
2018-10-01,-241.06712245754576,-357.8324928822531,635.3908475051962,-241.06712245754576,-241.06712245754576,388.2880762513987,388.2880762513987,388.2880762513987,388.2880762513987,388.2880762513987,388.2880762513987,0.0,0.0,0.0,147.22095379385294
2018-11-01,-271.40550589680873,-466.7462417598134,537.0523554663845,-271.4056112550426,-271.4054008935474,320.66198602797823,320.66198602797823,320.66198602797823,320.66198602797823,320.66198602797823,320.66198602797823,0.0,0.0,0.0,49.256480131169496
2018-12-01,-300.76523180577306,-886.8957749838178,227.60036938064735,-300.76556059062256,-300.76490031510616,-24.810687158956565,-24.810687158956565,-24.810687158956565,-24.810687158956565,-24.810687158956565,-24.810687158956565,0.0,0.0,0.0,-325.5759189647296
2019-01-01,-331.10361524503605,-2826.878567181513,-1830.7710730050132,-331.1042341412356,-331.10298286951405,-1983.8981188449882,-1983.8981188449882,-1983.8981188449882,-1983.8981188449882,-1983.8981188449882,-1983.8981188449882,0.0,0.0,0.0,-2315.001734090024
2019-02-01,-361.441998684299,-755.5570004498126,232.68967796300754,-361.4429535753288,-361.44105209995416,108.99543209528639,108.99543209528639,108.99543209528639,108.99543209528639,108.99543209528639,108.99543209528639,0.0,0.0,0.0,-252.4465665890126
2019-03-01,-388.8444095326655,-598.4048954798794,427.09168867039034,-388.84569903598845,-388.84308728957086,339.82084350870605,339.82084350870605,339.82084350870605,339.82084350870605,339.82084350870605,339.82084350870605,0.0,0.0,0.0,-49.02356602395946
2019-04-01,-419.1827929719289,744.0406715151556,1706.3677398752386,-419.1844566700678,-419.18103224276786,1625.745864692691,1625.745864692691,1625.745864692691,1625.745864692691,1625.745864692691,1625.745864692691,0.0,0.0,0.0,1206.563071720762
